REGIAO:;CO
UF:;MT
ESTACAO:;MIRASSOL D'OESTE
CODIGO (WMO):;A961
LATITUDE:;-15,64027777
LONGITUDE:;-58,07888888
ALTITUDE:;263
DATA DE FUNDACAO:;05/02/26
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/02/05;0000 UTC;;;;;;;;;;;;;;;;;;
2026/02/05;0100 UTC;;;;;;;;;;;;;;;;;;
2026/02/05;0200 UTC;;;;;;;;;;;;;;;;;;
2026/02/05;0300 UTC;;;;;;;;;;;;;;;;;;
2026/02/05;0400 UTC;;;;;;;;;;;;;;;;;;
2026/02/05;0500 UTC;;;;;;;;;;;;;;;;;;
2026/02/05;0600 UTC;;;;;;;;;;;;;;;;;;
2026/02/05;0700 UTC;;;;;;;;;;;;;;;;;;
2026/02/05;0800 UTC;;;;;;;;;;;;;;;;;;
2026/02/05;0900 UTC;;;;;;;;;;;;;;;;;;
2026/02/05;1000 UTC;;;;;;;;;;;;;;;;;;
2026/02/05;1100 UTC;;;;;;;;;;;;;;;;;;
2026/02/05;1200 UTC;;;;;;;;;;;;;;;;;;
2026/02/05;1300 UTC;;;;;;;;;;;;;;;;;;
2026/02/05;1400 UTC;;;;;;;;;;;;;;;;;;
2026/02/05;1500 UTC;;;;;;;;;;;;;;;;;;
2026/02/05;1600 UTC;;;;;;;;;;;;;;;;;;
2026/02/05;1700 UTC;;;;;;;;;;;;;;;;;;
2026/02/05;1800 UTC;;;;;;;;;;;;;;;;;;
2026/02/05;1900 UTC;;;;;;;;;;;;;;;;;;
2026/02/05;2000 UTC;;;;;;;;;;;;;;;;;;
2026/02/05;2100 UTC;;;;;;;;;;;;;;;;;;
2026/02/05;2200 UTC;;;;;;;;;;;;;;;;;;
2026/02/05;2300 UTC;1,2;977,7;977,7;977,3;;26,1;23,8;28,2;26,1;24,9;23,5;87;80;87;57;5,6;1,8;
2026/02/06;0000 UTC;0;978,7;978,7;977,7;;25,1;22,7;26,1;25,1;24;22;88;82;87;52;6,1;2,6;
2026/02/06;0100 UTC;,8;979,5;979,5;978,6;;23,8;23,5;25,1;23,8;23,7;22,6;99;87;99;23;6;2;
2026/02/06;0200 UTC;2,2;980,2;980,3;979,5;;24,2;23,9;24,5;23,7;24;23,5;99;96;98;60;5,2;2,3;
2026/02/06;0300 UTC;14,4;980,6;980,9;980,2;;24;24;24,5;23,9;24,1;23,9;100;97;100;26;6,4;2,3;
2026/02/06;0400 UTC;0;980,4;980,7;980,3;;23,4;23,4;24,4;23,4;24,2;23,4;100;98;100;40;6;1,7;
2026/02/06;0500 UTC;0;979,7;980,4;979,6;;24;23,9;24,2;23,3;24,1;23,3;100;98;100;1;4,2;,7;
2026/02/06;0600 UTC;0;979,4;979,8;979,4;;24,3;23,9;24,5;23,9;24;23,7;100;96;98;140;2,9;,8;
2026/02/06;0700 UTC;0;979,4;979,9;979,3;;24,4;24;24,5;24,2;24,1;23,6;99;94;98;314;2,2;,7;
2026/02/06;0800 UTC;0;978,6;979,4;978,6;;24,4;23,5;24,7;24;24;23,5;99;93;95;352;2;,8;
2026/02/06;0900 UTC;0;979,3;979,3;978,6;;24;23,5;24,4;23,8;23,7;23,4;99;95;97;124;2;,5;
2026/02/06;1000 UTC;0;979,7;979,7;979,2;;24,1;23,5;24,3;23,9;23,7;23,2;98;93;96;76;1,6;1,3;
