REGIAO:;NE
UF:;BA
ESTACAO:;ACAJUTIBA
CODIGO (WMO):;A472
LATITUDE:;-11,65444444
LONGITUDE:;-38,01583333
ALTITUDE:;182
DATA DE FUNDACAO:;09/05/26
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/05/09;0000 UTC;;;;;;;;;;;;;;;;;;
2026/05/09;0100 UTC;;;;;;;;;;;;;;;;;;
2026/05/09;0200 UTC;;;;;;;;;;;;;;;;;;
2026/05/09;0300 UTC;;;;;;;;;;;;;;;;;;
2026/05/09;0400 UTC;;;;;;;;;;;;;;;;;;
2026/05/09;0500 UTC;;;;;;;;;;;;;;;;;;
2026/05/09;0600 UTC;;;;;;;;;;;;;;;;;;
2026/05/09;0700 UTC;;;;;;;;;;;;;;;;;;
2026/05/09;0800 UTC;;;;;;;;;;;;;;;;;;
2026/05/09;0900 UTC;;;;;;;;;;;;;;;;;;
2026/05/09;1000 UTC;;;;;;;;;;;;;;;;;;
2026/05/09;1100 UTC;;;;;;;;;;;;;;;;;;
2026/05/09;1200 UTC;,6;995,7;995,7;995,4;909,5;25,2;25;;;;;99;;99;146;5,7;2,8;
2026/05/09;1300 UTC;,4;995,4;995,7;995,4;1672,8;26,2;24,1;26,5;25;25,2;24,1;99;88;88;139;5,4;3;
2026/05/09;1400 UTC;0;994,7;995,4;994,7;1654,4;27,2;24,8;27,3;25,9;24,9;23,7;90;83;87;157;7,2;3,2;
2026/05/09;1500 UTC;1;993,9;994,7;993,9;2282,9;25,2;23,8;28,7;25,1;24,7;22,9;92;74;92;124;9,7;4,5;
2026/05/09;1600 UTC;,2;993,7;993,9;993,6;1882,3;26,8;23,7;27,4;25,2;24,9;23,2;94;83;83;113;10,5;4,4;
2026/05/09;1700 UTC;0;993,3;993,7;993,2;2070,8;28;22,7;28,1;26,7;24,2;22,4;85;71;73;125;10,4;5,3;
2026/05/09;1800 UTC;0;993,2;993,3;993,1;1287,2;27;22,3;28;27;22,9;21,8;78;71;75;122;9,9;4,7;
2026/05/09;1900 UTC;0;993,4;993,5;993,2;615;26,5;22,4;27;26,2;22,8;22;79;75;78;139;8,8;4;
2026/05/09;2000 UTC;0;994,2;994,2;993,4;498,6;25,6;21,4;26,6;25,6;22,5;21,4;79;75;78;139;10,1;3,5;
2026/05/09;2100 UTC;0;994,5;994,5;994,2;5,2;24,5;21,5;25,6;24,5;21,5;21,5;84;78;83;138;6,8;2,2;
2026/05/09;2200 UTC;0;994,9;994,9;994,5;0;24,1;21,2;24,6;24,1;21,5;21,2;84;83;84;155;4,1;1,4;
2026/05/09;2300 UTC;0;995,3;995,3;994,9;0;23,7;21,4;24,1;23,5;21,4;21,1;87;84;87;170;3,8;1,7;
2026/05/10;0000 UTC;0;995,1;995,3;995,1;0;23,3;21,3;23,7;23,2;21,4;21,3;89;87;89;177;3,9;2,2;
2026/05/10;0100 UTC;0;995,2;995,2;995,1;0;23,3;21,3;23,3;23,1;21,3;21,2;89;88;89;158;3,9;1,8;
2026/05/10;0200 UTC;0;995,3;995,4;995,1;0;23;21,7;23,4;23;21,7;21,3;92;88;92;124;4,7;,7;
2026/05/10;0300 UTC;0;995,1;995,3;995,1;0;22,6;21,5;23,3;22,6;21,8;21,4;94;91;94;187;3,2;1,3;
2026/05/10;0400 UTC;0;994,7;995,1;994,7;0;22,5;21,5;22,6;22,5;21,6;21,5;94;94;94;202;3,1;2;
2026/05/10;0500 UTC;0;994,2;994,7;994,2;0;22,3;21,4;22,6;22,3;21,6;21,4;95;94;95;199;3,4;2,1;
2026/05/10;0600 UTC;0;993,9;994,2;993,9;0;22,3;20,9;22,4;22,2;21,4;20,9;95;92;92;198;3,8;2,2;
2026/05/10;0700 UTC;0;994,1;994,1;993,8;0;22;20,7;22,3;22;20,9;20,7;93;92;92;204;3,5;2,1;
2026/05/10;0800 UTC;0;994;994,1;993,9;0;21,6;20,4;22;21,6;20,7;20,4;93;92;93;213;3,9;2,2;
2026/05/10;0900 UTC;0;994,4;994,4;994;9,7;21,6;20,4;21,6;21,4;20,4;20,3;93;93;93;205;4,1;2,7;
2026/05/10;1000 UTC;0;995,2;995,2;994,4;230,6;22,9;21;22,9;21,5;21,1;20,4;93;89;89;210;4,1;1,9;
2026/05/10;1100 UTC;0;995,8;995,8;995,2;906,6;24,8;21,6;24,8;22,7;21,8;20,9;91;82;83;204;3,9;2,1;
2026/05/10;1200 UTC;0;996,6;996,6;995,8;1645,6;25,9;22;26,8;24,5;22,6;21,3;84;76;79;150;4,7;2,5;
2026/05/10;1300 UTC;0;996,5;996,7;996,5;1783,7;27,5;22,2;27,7;25,9;23,2;21,6;82;72;73;116;6,2;3,1;
2026/05/10;1400 UTC;0;995,6;996,5;995,6;2517,3;28,8;21,8;28,9;27,4;22,5;21;74;64;66;125;6,2;2,4;
2026/05/10;1500 UTC;0;994,8;995,6;994,8;2233,4;29,2;21,3;29,2;27,9;22,2;19,8;68;59;62;104;6,5;2,5;
2026/05/10;1600 UTC;0;993,9;994,8;993,9;2307,5;29,4;20,6;29,7;28;21,8;18,7;65;54;59;145;6,9;2,9;
2026/05/10;1700 UTC;0;993,2;993,9;993,2;2157,1;28,7;20,1;30,3;28,5;21,6;20;63;56;60;144;6;2,7;
