REGIAO:;N
UF:;TO
ESTACAO:;COLINAS DO TOCANTINS
CODIGO (WMO):;A049
LATITUDE:;-8,09277777
LONGITUDE:;-48,4786111
ALTITUDE:;200
DATA DE FUNDACAO:;11/11/16
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;987,6;987,8;987,4;;;;;;;;;;;4;3,4;1;
2026/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0200 UTC;0;987,9;987,9;987,6;;;;;;;;;;;90;1,9;1;
2026/01/01;0300 UTC;0;988,2;988,3;987,9;;;;;;;;;;;231;2,2;,5;
2026/01/01;0400 UTC;0;987,4;988,2;987,4;;;;;;;;;;;265;1,9;1,3;
2026/01/01;0500 UTC;0;986,6;987,4;986,6;;;;;;;;;;;36;1,9;,5;
2026/01/01;0600 UTC;0;985,9;986,6;985,9;;;;;;;;;;;11;1,6;,3;
2026/01/01;0700 UTC;0;985,5;985,9;985,5;;;;;;;;;;;278;1,1;,5;
2026/01/01;0800 UTC;,2;985,6;985,7;985,4;;;;;;;;;;;345;1,6;,7;
2026/01/01;0900 UTC;0;986,1;986,1;985,6;;;;;;;;;;;201;1,5;,5;
2026/01/01;1000 UTC;0;987,2;987,2;986,1;119,2;;;;;;;;;;99;1,3;,2;
2026/01/01;1100 UTC;0;987,8;987,8;987,2;546,9;;;;;;;;;;28;1,1;,5;
2026/01/01;1200 UTC;0;987,9;988;987,8;1801,5;;;;;;;;;;23;2,9;1,8;
2026/01/01;1300 UTC;0;988,1;988,2;987,9;2491,9;;;;;;;;;;17;4,2;2,2;
2026/01/01;1400 UTC;0;987,9;988,1;987,9;3201,5;;;;;;;;;;20;6,1;3,1;
2026/01/01;1500 UTC;0;987,1;987,9;987,1;3299;;;;;;;;;;359;6,3;2,9;
2026/01/01;1600 UTC;0;985,9;987,1;985,9;2903,8;;;;;;;;;;355;6;3,5;
2026/01/01;1700 UTC;0;985,1;985,9;985,1;2226,3;;;;;;;;;;280;5,4;1,6;
2026/01/01;1800 UTC;0;983,7;985,1;983,7;1754,3;;;;;;;;;;316;5,8;2;
2026/01/01;1900 UTC;0;983,6;983,7;983,4;1894,8;;;;;;;;;;275;4,9;2,1;
2026/01/01;2000 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;2100 UTC;6;984,1;984,6;983,8;242,5;;;;;;;;;;325;11,9;1,2;
2026/01/01;2200 UTC;0;985;985;984,1;37;;;;;;;;;;297;3,2;,7;
2026/01/01;2300 UTC;0;985,5;985,5;985;;;;;;;;;;;257;2,1;,5;
2026/01/02;0000 UTC;0;986,1;986,1;985,5;;;;;;;;;;;145;3;1,2;
2026/01/02;0100 UTC;0;987,1;987,1;986,1;;;;;;;;;;;303;2,4;1,4;
2026/01/02;0200 UTC;18,4;987,8;988,3;987,1;1,1;;;;;;;;;;223;10,4;2,3;
2026/01/02;0300 UTC;1,6;986,2;987,8;986,2;;;;;;;;;;;355;4,8;1,2;
2026/01/02;0400 UTC;,4;985,7;986,2;985,7;;;;;;;;;;;272;2,5;1,1;
2026/01/02;0500 UTC;0;985;985,6;985;;;;;;;;;;;260;2,6;,7;
2026/01/02;0600 UTC;0;984,3;985;984,3;;;;;;;;;;;88;1,2;,9;
